antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"country:LT, in_stock:yes","price:mid, store:burga",0.131,0.1276,0.1276,0.9739,7.6333,1.0,0.1109,33.487,1.0,0.9739,0.9701,0.987
"price:mid, store:burga","country:LT, in_stock:yes",0.1276,0.131,0.1276,1.0,7.6333,1.0,0.1109,999.0,0.9961,0.9739,1.0,0.987
"country:LT, store:burga","in_stock:yes, price:mid",0.1313,0.5492,0.1276,0.972,1.7698,1.0,0.0555,16.0991,0.5007,0.2308,0.9379,0.6022
"country:LT, price:mid","in_stock:yes, store:burga",0.1276,0.131,0.1276,1.0,7.6333,1.0,0.1109,999.0,0.9961,0.9739,1.0,0.987
store:burga,"country:LT, in_stock:yes, price:mid",0.1313,0.1276,0.1276,0.972,7.618,1.0,0.1108,31.1574,1.0,0.972,0.9679,0.986
country:LT,"in_stock:yes, price:mid, store:burga",0.1313,0.1276,0.1276,0.972,7.618,1.0,0.1108,31.1574,1.0,0.972,0.9679,0.986
category:phone_case,store:burga,0.1103,0.1313,0.1103,1.0,7.618,1.0,0.0958,999.0,0.9764,0.84,1.0,0.92
store:burga,category:phone_case,0.1313,0.1103,0.1103,0.84,7.618,1.0,0.0958,5.5608,1.0,0.84,0.8202,0.92
category:phone_case,country:LT,0.1103,0.1313,0.1103,1.0,7.618,1.0,0.0958,999.0,0.9764,0.84,1.0,0.92
country:LT,category:phone_case,0.1313,0.1103,0.1103,0.84,7.618,1.0,0.0958,5.5608,1.0,0.84,0.8202,0.92
"category:phone_case, store:burga",country:LT,0.1103,0.1313,0.1103,1.0,7.618,1.0,0.0958,999.0,0.9764,0.84,1.0,0.92
"category:phone_case, country:LT",store:burga,0.1103,0.1313,0.1103,1.0,7.618,1.0,0.0958,999.0,0.9764,0.84,1.0,0.92
"country:LT, store:burga",category:phone_case,0.1313,0.1103,0.1103,0.84,7.618,1.0,0.0958,5.5608,1.0,0.84,0.8202,0.92
category:phone_case,"country:LT, store:burga",0.1103,0.1313,0.1103,1.0,7.618,1.0,0.0958,999.0,0.9764,0.84,1.0,0.92
store:burga,"category:phone_case, country:LT",0.1313,0.1103,0.1103,0.84,7.618,1.0,0.0958,5.5608,1.0,0.84,0.8202,0.92
country:LT,"category:phone_case, store:burga",0.1313,0.1103,0.1103,0.84,7.618,1.0,0.0958,5.5608,1.0,0.84,0.8202,0.92
"category:phone_case, in_stock:yes",store:burga,0.1103,0.1313,0.1103,1.0,7.618,1.0,0.0958,999.0,0.9764,0.84,1.0,0.92
"in_stock:yes, store:burga",category:phone_case,0.131,0.1103,0.1103,0.8417,7.6333,1.0,0.0958,5.62,1.0,0.8417,0.8221,0.9208
category:phone_case,"in_stock:yes, store:burga",0.1103,0.131,0.1103,1.0,7.6333,1.0,0.0958,999.0,0.9767,0.8417,1.0,0.9208
store:burga,"category:phone_case, in_stock:yes",0.1313,0.1103,0.1103,0.84,7.618,1.0,0.0958,5.5608,1.0,0.84,0.8202,0.92
"category:phone_case, price:mid",store:burga,0.1103,0.1313,0.1103,1.0,7.618,1.0,0.0958,999.0,0.9764,0.84,1.0,0.92
"price:mid, store:burga",category:phone_case,0.1276,0.1103,0.1103,0.8642,7.8374,1.0,0.0962,6.5517,1.0,0.8642,0.8474,0.9321
category:phone_case,"price:mid, store:burga",0.1103,0.1276,0.1103,1.0,7.8374,1.0,0.0962,999.0,0.9805,0.8642,1.0,0.9321
store:burga,"category:phone_case, price:mid",0.1313,0.1103,0.1103,0.84,7.618,1.0,0.0958,5.5608,1.0,0.84,0.8202,0.92
"category:phone_case, in_stock:yes",country:LT,0.1103,0.1313,0.1103,1.0,7.618,1.0,0.0958,999.0,0.9764,0.84,1.0,0.92
"country:LT, in_stock:yes",category:phone_case,0.131,0.1103,0.1103,0.8417,7.6333,1.0,0.0958,5.62,1.0,0.8417,0.8221,0.9208
category:phone_case,"country:LT, in_stock:yes",0.1103,0.131,0.1103,1.0,7.6333,1.0,0.0958,999.0,0.9767,0.8417,1.0,0.9208
country:LT,"category:phone_case, in_stock:yes",0.1313,0.1103,0.1103,0.84,7.618,1.0,0.0958,5.5608,1.0,0.84,0.8202,0.92
"category:phone_case, price:mid",country:LT,0.1103,0.1313,0.1103,1.0,7.618,1.0,0.0958,999.0,0.9764,0.84,1.0,0.92
"country:LT, price:mid",category:phone_case,0.1276,0.1103,0.1103,0.8642,7.8374,1.0,0.0962,6.5517,1.0,0.8642,0.8474,0.9321
category:phone_case,"country:LT, price:mid",0.1103,0.1276,0.1103,1.0,7.8374,1.0,0.0962,999.0,0.9805,0.8642,1.0,0.9321
country:LT,"category:phone_case, price:mid",0.1313,0.1103,0.1103,0.84,7.618,1.0,0.0958,5.5608,1.0,0.84,0.8202,0.92
category:phone_case,"in_stock:yes, price:mid",0.1103,0.5492,0.1103,1.0,1.8207,1.0,0.0497,999.0,0.5066,0.2008,1.0,0.6004
"category:phone_case, in_stock:yes, store:burga",country:LT,0.1103,0.1313,0.1103,1.0,7.618,1.0,0.0958,999.0,0.9764,0.84,1.0,0.92
"category:phone_case, country:LT, in_stock:yes",store:burga,0.1103,0.1313,0.1103,1.0,7.618,1.0,0.0958,999.0,0.9764,0.84,1.0,0.92
"country:LT, in_stock:yes, store:burga",category:phone_case,0.131,0.1103,0.1103,0.8417,7.6333,1.0,0.0958,5.62,1.0,0.8417,0.8221,0.9208
"category:phone_case, store:burga","country:LT, in_stock:yes",0.1103,0.131,0.1103,1.0,7.6333,1.0,0.0958,999.0,0.9767,0.8417,1.0,0.9208
"category:phone_case, in_stock:yes","country:LT, store:burga",0.1103,0.1313,0.1103,1.0,7.618,1.0,0.0958,999.0,0.9764,0.84,1.0,0.92
"category:phone_case, country:LT","in_stock:yes, store:burga",0.1103,0.131,0.1103,1.0,7.6333,1.0,0.0958,999.0,0.9767,0.8417,1.0,0.9208
"in_stock:yes, store:burga","category:phone_case, country:LT",0.131,0.1103,0.1103,0.8417,7.6333,1.0,0.0958,5.62,1.0,0.8417,0.8221,0.9208
"country:LT, store:burga","category:phone_case, in_stock:yes",0.1313,0.1103,0.1103,0.84,7.618,1.0,0.0958,5.5608,1.0,0.84,0.8202,0.92
"country:LT, in_stock:yes","category:phone_case, store:burga",0.131,0.1103,0.1103,0.8417,7.6333,1.0,0.0958,5.62,1.0,0.8417,0.8221,0.9208
category:phone_case,"country:LT, in_stock:yes, store:burga",0.1103,0.131,0.1103,1.0,7.6333,1.0,0.0958,999.0,0.9767,0.8417,1.0,0.9208
